Fecha,TRM (COP)
2026-05-01,3637.51
2026-05-05,3707.58
2026-05-06,3723.33
2026-05-07,3706.44
2026-05-08,3729.27
2026-05-09,3747.10
2026-05-12,3759.00
2026-05-13,3775.07
2026-05-14,3794.91
2026-05-15,3784.70
2026-05-16,3796.78
2026-05-20,3796.87
2026-05-21,3730.49
2026-05-22,3701.37
2026-05-23,3667.06
2026-05-27,3644.47
2026-05-28,3631.57
2026-05-29,3646.58
2026-05-30,3678.15
2026-06-02,3560.24
2026-06-03,3562.00
2026-06-04,3572.85
2026-06-05,3565.32
